feature,mean_positive_shap,mean_abs_shap,mean_signed_shap,positive_rank
Megamonas_funiformis,0.0015582560750783826,0.0021357238574767658,0.000980788292679999,36
Eisenbergiella_tayi,0.0015456042959375287,0.0031165882061444834,-2.537961426942429e-05,37
Gemella_haemolysans,0.0015382183993836373,0.0035404940688031974,-0.0004640572700359243,38
Oscillibacter_sp_57_20,0.0015355213487786847,0.002959640211421887,0.00011140248613547981,39
Asaccharobacter_celatus,0.0014973278173821755,0.0024469468032568783,0.0005477088315074749,40
Bacteroides_plebeius,0.001485440448665562,0.0027133550895786316,0.0002575258077524935,41
Odoribacter_splanchnicus,0.0014416186602971774,0.0027692645337037487,0.00011397278689060638,42
Intestinimonas_butyriciproducens,0.0014209196128873057,0.0030718809466369957,-0.00023004172086238525,43
Flavonifractor_plautii,0.0014068646387914716,0.003384748363304077,-0.0005710190857211334,44
Clostridium_disporicum,0.001401793141681478,0.001920012730751443,0.000883573552611513,45
Mogibacterium_diversum,0.0013369986963497362,0.0027841898226767317,-0.0001101924299772583,46
Bacteroides_stercoris,0.0013254105542889773,0.0024115410976459704,0.00023928001093198307,47
Streptococcus_thermophilus,0.0013070866179583577,0.003432928309572439,-0.0008187550736557229,48
Eubacterium_sp_CAG_38,0.0012873371130120818,0.0028520396135741206,-0.00027736538754995644,49
Anaerotignum_lactatifermentans,0.0012798334204561122,0.00285494203517577,-0.00029527519426354395,50
Clostridium_citroniae,0.0012107256110645232,0.0028114371544278646,-0.00038998593229881874,51
Proteobacteria_bacterium_CAG_139,0.0011893860760234937,0.002402269235020762,-2.3497082973770746e-05,52
Bilophila_wadsworthia,0.0011858359646279575,0.0022973632157773766,7.430871347853846e-05,53
Firmicutes_bacterium_CAG_83,0.0011807416457773078,0.0026296008983019113,-0.00026811760674729537,54
Lachnospira_pectinoschiza,0.0011629031965752297,0.0018958988980062202,0.0004299074951442399,55
Akkermansia_muciniphila,0.0011617448841006403,0.0023835323345874205,-6.0042566386140996e-05,56
Parasutterella_excrementihominis,0.0011226149804982224,0.0024217005135901337,-0.00017647055259368858,57
Bacteroides_vulgatus,0.001113829045527611,0.0025828927015594176,-0.00035523461050419565,58
Allisonella_histaminiformans,0.0010967805135831679,0.0023338986977296107,-0.0001403376705632733,59
Agathobaculum_butyriciproducens,0.0010912219342352166,0.0021729219299249135,9.521938545519423e-06,60
Haemophilus_parainfluenzae,0.001072440574142372,0.003023887001705498,-0.0008790058534207545,61
Slackia_isoflavoniconvertens,0.0010636978632165483,0.001914368304189058,0.00021302742224403945,62
Clostridium_bolteae,0.0010134558010531551,0.00200530418462373,2.160741748258031e-05,63
Alistipes_indistinctus,0.0010109071579580482,0.002951214688784281,-0.0009294003728681846,64
Holdemania_filiformis,0.0010022017825017514,0.00206524201813194,-6.083845312843648e-05,65
Parabacteroides_goldsteinii,0.0009790984272446495,0.002387284047267303,-0.00042908719277800345,66
Coprococcus_catus,0.0009531245746081216,0.001970668807664707,-6.441965844846355e-05,67
Ruminococcus_torques,0.0009382670477641522,0.002501036233293574,-0.0006245021377652681,68
Butyricimonas_virosa,0.0009279284872012013,0.0017832235707792151,7.26334036231867e-05,69
Firmicutes_bacterium_CAG_110,0.0009093889226518772,0.001711494698506923,0.00010728314679683128,70
Gordonibacter_pamelaeae,0.0008898054652723568,0.0017976745721209578,-1.8063641576244703e-05,71
Bacteroides_ovatus,0.0008688999809163992,0.0017115003668303768,2.629959500242212e-05,72
Bacteroides_salyersiae,0.0008111069661092234,0.0015542000474854359,6.801388473301038e-05,73
Dorea_formicigenerans,0.0008109779896115113,0.0022606859944277395,-0.0006387300152047167,74
Clostridium_innocuum,0.0008046587770600721,0.0013787387263778468,0.00023057882774229693,75
Bifidobacterium_adolescentis,0.0008025931024693144,0.0017857343352310957,-0.000180548130292466,76
Collinsella_intestinalis,0.0007768016104325527,0.001718675692871157,-0.00016507247200605153,77
Clostridium_leptum,0.0007766749294275983,0.001846619246617848,-0.00029326938776265177,78
Coprobacter_fastidiosus,0.0007713589519657353,0.0012147466593426135,0.0003279712445888571,79
Turicimonas_muris,0.0007659312488840442,0.0013688975365308408,0.00016296496123724787,80
Blautia_wexlerae,0.0007636788081761053,0.002012208527254012,-0.00048485091090180195,81
Anaeromassilibacillus_sp_An250,0.0007620718611053055,0.0012689567576001583,0.0002551869646104533,82
Ruminococcaceae_bacterium_D5,0.0007587333746794413,0.0014718332107539376,4.563353860494488e-05,83
Phascolarctobacterium_succinatutens,0.0007221090975413373,0.0014303169730033706,1.3901222079303562e-05,84
Blautia_sp_CAG_257,0.0006939862400094685,0.001054835829621038,0.0003331366503978992,85
Eubacterium_ramulus,0.0006884438903960484,0.0011014916807991443,0.0002753960999929523,86
Bacteroides_coprocola,0.0006827212870149247,0.0013845778239684897,-1.9135249938640072e-05,87
Bacteroides_xylanisolvens,0.0006797919253671442,0.0013822266859350497,-2.264283520076133e-05,88
Bacteroides_intestinalis,0.0006686444108156633,0.0013552837143756646,-1.7994892744337816e-05,89
Bifidobacterium_longum,0.0006484009314323731,0.001549659030693826,-0.00025285716782907973,90
Eubacterium_hallii,0.0006254596694052397,0.001188405706525175,6.251363228530406e-05,91
Clostridium_saccharolyticum,0.0006252504277024359,0.0013774601810227246,-0.00012695932561785275,92
Oscillibacter_sp_CAG_241,0.0006142745941231691,0.0015745001059098492,-0.0003459509176635105,93
Actinomyces_sp_oral_taxon_181,0.0006125223445024344,0.0008562299826635976,0.00036881470634127147,94
Megamonas_hypermegale,0.0006096537712823962,0.0008234620480884276,0.0003958454944763645,95
Catenibacterium_mitsuokai,0.0006056283268791043,0.0010008339254022898,0.00021042272835591856,96
Roseburia_sp_CAG_309,0.0006033105760018076,0.0007843531547087817,0.00042226799729483356,97
Eggerthella_lenta,0.0006032778312132143,0.0009967598442912782,0.0002097958181351508,98
Barnesiella_intestinihominis,0.0005999644983696712,0.0009158521442804364,0.00028407685245890633,99
Bifidobacterium_bifidum,0.0005981776396820574,0.0009211789556022879,0.0002751763237618274,100
Holdemanella_biformis,0.0005953111504981764,0.0011592546716693499,3.136762932700314e-05,101
Veillonella_parvula,0.0005895806096145014,0.0014525205859146496,-0.0002733593666856474,102
Bacteroides_uniformis,0.0005813945763810474,0.001117294156698894,4.5494996063200035e-05,103
Streptococcus_parasanguinis,0.0005792254654552971,0.0010482041159753234,0.00011024681493527108,104
Escherichia_coli,0.0005719602722608288,0.0014458270484791413,-0.00030190650395748274,105
Bacteroides_nordii,0.0005539067646021387,0.0009832081399357923,0.00012460538926848555,106
Actinomyces_sp_HMSC035G02,0.0005525180985694996,0.0010156216358139813,8.941456132501835e-05,107
Streptococcus_australis,0.0005081884499933882,0.0010247479016288424,-8.371001642066266e-06,108
Phascolarctobacterium_faecium,0.0005059159313264529,0.0007988112988197998,0.00021302056383310552,109
