feature,mean_abs_shap
Holdemanella_biformis,0.0004820445367142155
Firmicutes_bacterium_CAG_145,0.00047348012033918233
Clostridium_spiroforme,0.0004648004721853794
Bacteroides_eggerthii,0.0004628859200088633
Firmicutes_bacterium_CAG_170,0.0004625077059921096
Desulfovibrio_piger,0.0004619227655092864
Klebsiella_pneumoniae,0.0004604003927143583
Tyzzerella_nexilis,0.00045251643665791455
Coprococcus_eutactus,0.00045176733666067704
Actinomyces_sp_HMSC035G02,0.0004466693878977881
Veillonella_infantium,0.00044501129939639205
Streptococcus_sanguinis,0.00043063288250245096
Clostridium_asparagiforme,0.0004227042671658585
Bacteroides_galacturonicus,0.00040757662198286396
Dorea_sp_CAG_317,0.0003991624940110617
Clostridium_sp_CAG_299,0.0003914010402425614
Klebsiella_variicola,0.00038331907653121
Actinomyces_sp_S6_Spd3,0.00037740674656284084
Enterorhabdus_caecimuris,0.0003737642259582856
Blautia_hydrogenotrophica,0.00037130138525333747
Lactococcus_lactis,0.0003567281102456504
Bacteroides_sp_CAG_144,0.0003553413727763131
Klebsiella_quasipneumoniae,0.0003475253097706761
Bacteroides_clarus,0.0003431436453881071
Eubacterium_sulci,0.00033372860173521806
Megamonas_hypermegale,0.00033234231596003386
Lachnoclostridium_sp_An138,0.0003277296077514166
Ruminococcus_callidus,0.0003196718202055907
Clostridium_sp_CAG_253,0.0003129886334918399
Paraprevotella_clara,0.0003124345711578753
Alistipes_inops,0.00029129867337812485
Enterococcus_faecalis,0.0002889508116008977
Monoglobus_pectinilyticus,0.00028460046975297635
Catenibacterium_mitsuokai,0.000274740106571172
Alistipes_onderdonkii,0.0002741615061909161
Sanguibacteroides_justesenii,0.0002449603533754838
Megamonas_funiformis,0.0002269901929975582
Bacteroides_faecis,0.0002177253889779376
Phascolarctobacterium_sp_CAG_266,0.00021674659881885453
Desulfovibrionaceae_bacterium,0.00021094681896566646
Firmicutes_bacterium_CAG_95,0.00017941274129513627
Butyrivibrio_crossotus,0.00016586893421320013
Firmicutes_bacterium_CAG_238,0.00012666174657155178
Megasphaera_micronuciformis,0.00010617663754571936
